model,metric,estimate,lower,upper,resamples_requested,resamples_succeeded,seed,uncertainty_scope,population
Seedling count and design,top_recruitment_fraction,0.2619047619047619,0.16051000805602034,0.3281641755062681,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,top_no_new_tally_fraction,0.7380952380952381,0.6718358244937319,0.8394899919439796,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,top_event_capture_fraction,0.44,0.3088561563326477,0.5367875,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,top_events,44,21.475,68.52499999999998,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,brier_score,0.11817427320647096,0.1073110058896482,0.13830916387134515,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,log_loss,0.38338334565100646,0.35749717762038147,0.4416110277312977,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,roc_auc,0.7105944055944056,0.6221632322242164,0.757039444582502,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,average_precision,0.2948058599977603,0.19411573774943552,0.36199978040544795,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,top_recruitment_fraction,0.25595238095238093,0.16071428571428573,0.3423552374756017,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,top_no_new_tally_fraction,0.7440476190476191,0.6576447625243982,0.8392857142857143,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,top_event_capture_fraction,0.43,0.3237298387096774,0.5311837029893924,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Maple stages and design,top_events,43,21,70.52499999999998,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
